title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,id
Azul,2017,Best with 2 players,Recommended with 2–4 players,7.73701,96260,80,230802
Flamecraft,2022,Best with 3 players,Recommended with 1–5 players,7.41592,16443,377,336986
The Lord of the Rings: Duel for Middle-earth,2024,Best with 2 players,Recommended with 2 players,8.44584,6443,84,421006
The Resistance,2009,Best with 7 players,Recommended with 5–10 players,7.20503,41490,412,41114
Nexus Ops,2005,Best with 4 players,Recommended with 2–4 players,7.21097,9004,651,15363
Surfosaurus MAX,2023,Best with 3 players,Recommended with 3–6 players,6.99008,703,3903,394887
Tower Up,2024,Best with 3–4 players,Recommended with 2–4 players,7.5551,681,3058,393307
Agricola (Revised Edition),2016,Best with 3–4 players,Recommended with 1–4 players,7.95072,18939,79,200680
Barrage,2019,Best with 4 players,Recommended with 2–4 players,8.15774,19006,36,251247
Canvas,2010,,(no votes),8.0,2,Not Ranked,81703
Codenames,2015,"Best with 6, 8 players",Recommended with 4–8+ players,7.53607,95820,151,178900
Spot it!,2009,Best with 4–5 players,Recommended with 2–7 players,6.54638,19895,1526,63268
Dorfromantik: Expansion Content from Dorfromantik – The Duel,2023,,(no votes),7.66667,15,Not Ranked,406315
King of Tokyo,2011,Best with 4–5 players,Recommended with 3–6 players,7.12716,72438,444,70323
Magic Maze,2017,Best with 4 players,Recommended with 2–6 players,6.94894,22361,729,209778
Meadow,2021,Best with 2 players,Recommended with 1–4 players,7.72706,11675,207,314491
Mists over Carcassonne,2022,Best with 2 players,Recommended with 1–4 players,7.30891,2162,1527,358124
Sonar Family,2018,Best with 4 players,"Recommended with 2, 4 players",6.82695,737,4152,259809
Noobs in Space,2023,Best with 4 players,Recommended with 3–5 players,7.13334,627,3880,376472
The Fox in the Forest,2017,Best with 2 players,Recommended with 2 players,7.08307,16547,620,221965
Agropolis,2021,Best with 1 players,Recommended with 1–2 players,7.31483,2469,1308,314088
Azul: Stained Glass of Sintra,2018,Best with 3 players,Recommended with 2–4 players,7.29942,13919,461,256226
Bites,2020,Best with 3 players,Recommended with 2–5 players,7.11856,1911,1869,277927
Catan Junior,2014,Best with 4 players,Recommended with 2–4 players,6.52709,1170,4252,184842
