name,state_previous,state_current,state_since,status
-Lånebiblioteket -The Taverns Of Tiefenthal,Unavailable,Unavailable,2025-01-24 11:43:30,No Change
-Säljs från Lånebiblioteket- 3D Labyrinth,,,2025-01-20 09:57:43,New Game
-Säljs från Lånebiblioteket- HINT Junior (sv),,,2025-01-07 15:48:29,New Game
-Säljs från Lånebiblioteket- Idiotkunskap,,,2025-01-20 09:57:43,New Game
-Säljs från Lånebiblioteket- Kurragömma på Bondgården,Available,Available,2025-01-16 17:02:50,No Change
-Säljs från Lånebiblioteket- Myretuen (Myrstacken),Available,Available,2025-01-16 17:02:50,No Change
-Säljs från Lånebiblioteket- Nåt Ska Bort,Available,Available,2025-01-16 17:02:50,No Change
-Säljs från Lånebiblioteket- På 5 sekunder,Available,Available,2025-01-16 17:02:50,No Change
3D Labyrinth,,,2025-01-16 17:02:50,New Game
7 Wonders 2nd Edition (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
7 Wonders Architects (sv),Unavailable,Unavailable,2025-01-16 17:02:50,No Change
AQUA (sv),Available,Available,2025-01-16 17:02:50,No Change
Adventure Games: The Volcanic Island (en),Available,Available,2024-12-26 11:08:30,No Change
Agricola Revised,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Agropolis,Available,Available,2024-12-26 11:08:30,No Change
Akropolis (sv),Available,Available,2024-12-26 11:08:30,No Change
Allmoge,Available,Available,2025-01-16 17:02:50,No Change
Aquatica,Available,Available,2024-12-26 11:08:30,No Change
Arboretum,Available,Available,2025-01-16 17:02:50,No Change
Avant Carde,Available,Available,2024-12-26 11:08:30,No Change
Azul Mini,,,2025-01-20 09:57:43,New Game
Azul: Stained Glass of Sintra,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
BOOoop. / Boop.,Available,Available,2024-12-26 11:08:30,No Change
Babylonia,Available,Available,2024-12-26 11:08:30,No Change
Backgammon Medium Green (1732),Available,Available,2024-12-26 11:08:30,No Change
Balloon Pop (sv),Available,Available,2024-12-26 11:08:30,No Change
Barrage,Available,Available,2025-01-16 17:02:50,No Change
Bermuda Pirates,Available,Available,2024-12-26 11:08:30,No Change
Bezzerwizzer (sv),Available,Available,2024-12-26 11:08:30,No Change
Bezzerwizzer Timeline,Available,Available,2024-12-26 11:08:30,No Change
Bites,Available,Available,2024-12-26 11:08:30,No Change
Brass Birmingham,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Bruxelles 1897,Available,Available,2024-12-26 11:08:30,No Change
Calico,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Canvas,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Cascadia,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Catan (eng),Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Catan (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Catan Junior (sv),Unavailable,Unavailable,2025-01-20 09:57:43,No Change
Catch the Moon (en),Available,Available,2024-12-26 11:08:30,No Change
Century: Spice Road (sv),Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Ceylon,Available,Available,2024-12-26 11:08:30,No Change
Chess/Schack (2706),Available,Available,2024-12-26 11:08:30,No Change
Chronicles of Crime,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Citadels (Revised),Unavailable,Unavailable,2025-01-20 09:57:43,No Change
Cluedo: Svek på Swartwiks herrgård,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Codenames (Svenska),Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Codenames Duet,Available,Available,2024-12-26 11:08:30,No Change
Coffee Rush (sv),Available,Available,2025-01-16 17:02:50,No Change
Concept,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Copenhagen (sv),Available,Available,2025-01-16 17:02:50,No Change
Coup (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Det borde man ju veta!,Available,Available,2024-12-26 11:08:30,No Change
Dixit,Available,Available,2025-01-20 09:57:43,No Change
Dobble (aka Spot It!),Available,Available,2025-01-16 17:02:50,No Change
Dorfromantik (en),Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Dorfromantik: The Duel,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Dragomino,Available,Available,2024-12-26 11:08:30,No Change
DubbelYatzy,Available,Available,2025-01-20 09:57:43,No Change
Dungeon Mayhem: Monster Madness,Available,Available,2024-12-26 11:08:30,No Change
Döttrar & Söner,Available,Available,2024-12-26 11:08:30,No Change
Eldritch Horror,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Everdell (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Ex Libris 2nd. Edition,Available,Available,2025-01-16 17:02:50,No Change
Exit Kids: Gåtornas Djungel,Available,Available,2024-12-26 11:08:30,No Change
Exploding Kittens - Original Edition,Unavailable,Unavailable,2025-01-20 09:57:43,No Change
Famous Women Trivia Quiz,Available,Available,2025-01-20 09:57:43,No Change
Flamecraft,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Flamme Rouge,Available,Available,2024-12-26 11:08:30,No Change
Flamme Rouge BMX (sv),Available,Available,2024-12-26 11:08:30,No Change
Foto Fish,Available,Available,2024-12-26 11:08:30,No Change
Furnace,Available,Available,2024-12-26 11:08:30,No Change
Galaxy Trucker,Available,Available,2025-01-07 15:48:29,No Change
Gateway Island,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Genotype,Available,Available,2024-12-26 11:08:30,No Change
Grove: 9 Card Solitaire Game,Available,Available,2024-12-26 11:08:30,No Change
Gå på Plankan (sv),Available,Available,2025-01-02 08:46:25,No Change
Hansa Teutonica Big Box,Available,Available,2024-12-26 11:08:30,No Change
Harmonies,Available,Available,2025-01-24 11:43:30,No Change
Heckmeck Deluxe,Available,Available,2025-01-20 09:57:43,No Change
HerStory,Available,Available,2025-01-16 17:02:50,No Change
Here to Slay,Available,Available,2024-12-26 11:08:30,No Change
Hint Go (sv),Available,Available,2024-12-26 11:08:30,No Change
Hissy Fit,Available,Available,2025-01-16 17:02:50,No Change
Hive Pocket (Gen42 only Edition),Available,Available,2025-01-16 17:02:50,No Change
Honey Buzz,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Horizons of Spirit Island,Unavailable,Unavailable,2025-01-07 15:48:29,No Change
Horrified,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Idiotkunskap,,,2025-01-16 17:02:50,New Game
Imagine,Available,Available,2024-12-26 11:08:30,No Change
Jaws,Available,Available,2025-01-16 17:02:50,No Change
Jekyll & Hyde vs Scotland Yard,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Joking Hazard,Available,Available,2025-01-20 09:57:43,No Change
Just one (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Karak,Available,Available,2024-12-26 11:08:30,No Change
King of Tokyo (sv),Available,Available,2025-01-16 17:02:50,No Change
Kluster,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Kurragömma i Safariparken,Available,Available,2024-12-26 11:08:30,No Change
Kurragömma på Bondgården,,,2025-01-16 17:02:50,New Game
Land Vs Sea,Available,Available,2024-12-26 11:08:30,No Change
