name,state_previous,state_current,state_since,status,id,title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,played,wishlist
The Taverns Of Tiefenthal,Unavailable,Unavailable,2025-01-24 11:43:30,No Change,269207,The Taverns of Tiefenthal,2019.0,Best with 2–3 players,Recommended with 2–4 players,7.57708,15345.0,242,False,False
-Säljs från Lånebiblioteket- 3D Labyrinth,,,2025-01-20 09:57:43,Removed,Unknown,,,,,,,,False,False
-Säljs från Lånebiblioteket- HINT Junior (sv),,,2025-01-07 15:48:29,Removed,Unknown,,,,,,,,False,False
-Säljs från Lånebiblioteket- Idiotkunskap,,,2025-01-20 09:57:43,Removed,Unknown,,,,,,,,False,False
-Säljs från Lånebiblioteket- Kurragömma på Bondgården,,,2025-01-27 08:46:43,Removed,Unknown,,,,,,,,False,False
-Säljs från Lånebiblioteket- Myretuen (Myrstacken),Available,Available,2025-01-16 17:02:50,No Change,Unknown,,,,,,,,False,False
-Säljs från Lånebiblioteket- Nåt Ska Bort,,,2025-01-27 08:46:43,Removed,Unknown,,,,,,,,False,False
-Säljs från Lånebiblioteket- På 5 sekunder,,,2025-01-27 08:46:43,Removed,Unknown,,,,,,,,False,False
3D Labyrinth,,,2025-01-16 17:02:50,Removed,8308,3D Labyrinth,2002.0,Best with 4 players,Recommended with 4 players,5.17774,164.0,26296,False,False
7 Wonders 2nd Edition (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,True,False
7 Wonders Architects (sv),Unavailable,Unavailable,2025-01-16 17:02:50,No Change,331815,7 Wonders (Second Edition): Architects Guild Promo Card,2020.0,,(no votes),7.83176,17.0,Not Ranked,False,False
AQUA (sv),Available,Available,2025-01-16 17:02:50,No Change,405924,Aqua,2024.0,,(no votes),6.74194,31.0,19198,False,False
Adventure Games: The Volcanic Island (en),Available,Available,2024-12-26 11:08:30,No Change,284082,Adventure Games: The Volcanic Island,2019.0,Best with 2 players,Recommended with 1–4 players,5.92092,684.0,8862,False,False
Agricola Revised,Unavailable,Unavailable,2025-01-16 17:02:50,No Change,200680,Agricola (Revised Edition),2016.0,Best with 3–4 players,Recommended with 1–4 players,7.95072,18939.0,79,False,False
Agropolis,Available,Available,2024-12-26 11:08:30,No Change,314088,Agropolis,2021.0,Best with 1 players,Recommended with 1–2 players,7.31483,2469.0,1308,False,False
Akropolis (sv),Available,Available,2024-12-26 11:08:30,No Change,357563,Akropolis,2022.0,Best with 3 players,Recommended with 2–4 players,7.47802,7947.0,451,False,False
Allmoge,Available,Available,2025-01-16 17:02:50,No Change,430461,Allmoge,2024.0,,(no votes),8.5,3.0,Not Ranked,False,False
Aquatica,Available,Available,2024-12-26 11:08:30,No Change,283393,Aquatica,2019.0,Best with 3 players,Recommended with 2–4 players,7.37012,6926.0,569,False,False
Arboretum,Available,Available,2025-01-16 17:02:50,No Change,140934,Arboretum,2015.0,Best with 2 players,Recommended with 2–4 players,7.28108,21507.0,381,True,False
Avant Carde,Available,Available,2024-12-26 11:08:30,No Change,390163,Avant Carde,2024.0,Best with 3 players,Recommended with 2–4 players,6.97969,323.0,6008,False,False
Azul Mini,,,2025-01-20 09:57:43,Removed,230802,Azul,2017.0,Best with 2 players,Recommended with 2–4 players,7.73701,96260.0,80,False,False
Azul: Stained Glass of Sintra,Unavailable,Unavailable,2025-01-16 17:02:50,No Change,256226,Azul: Stained Glass of Sintra,2018.0,Best with 3 players,Recommended with 2–4 players,7.29942,13919.0,461,False,False
BOOoop. / Boop.,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Babylonia,Available,Available,2024-12-26 11:08:30,No Change,20871,Babylonia,2005.0,,(no votes),4.0,3.0,Not Ranked,False,False
Backgammon Medium Green (1732),Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Balloon Pop (sv),Unavailable,Unavailable,2025-01-27 08:46:43,No Change,386761,Balloon Pop,2023.0,Best with 3 players,Recommended with 2–4 players,6.12514,181.0,12903,False,False
Barrage,Unavailable,Unavailable,2025-01-27 08:46:43,No Change,251247,Barrage,2019.0,Best with 4 players,Recommended with 2–4 players,8.15774,19006.0,36,False,False
Bermuda Pirates,Available,Available,2024-12-26 11:08:30,No Change,244909,Bermuda Pirates,2019.0,Best with 4 players,Recommended with 2–4 players,6.29885,139.0,13043,False,False
Bezzerwizzer (sv),Available,Available,2024-12-26 11:08:30,No Change,32441,Bezzerwizzer,2007.0,"Best with 4, 8 players","Recommended with 3–6, 8–10, 12 players",6.41268,3403.0,2890,False,False
Bezzerwizzer Timeline,Available,Available,2024-12-26 11:08:30,No Change,337617,Bezzerwizzer Timeline,2021.0,Best with 3–4 players,Recommended with 3–5 players,6.7527,74.0,13615,False,False
Bites,Available,Available,2024-12-26 11:08:30,No Change,277927,Bites,2020.0,Best with 3 players,Recommended with 2–5 players,7.11856,1911.0,1869,False,False
Brass Birmingham,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,224517,Brass: Birmingham,2018.0,Best with 3–4 players,Recommended with 2–4 players,8.58623,49239.0,1,False,True
Bruxelles 1897,Available,Available,2024-12-26 11:08:30,No Change,275913,Bruxelles 1897,2019.0,Best with 3 players,Recommended with 2–4 players,7.16519,2048.0,1772,False,False
