title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,id
Point City,2023,Best with 2 players,Recommended with 1–4 players,7.20983,3394,1171,368017
Brass: Birmingham,2018,Best with 3–4 players,Recommended with 2–4 players,8.58659,49176,1,224517
Nåt ska bort,2019,,(no votes),5.57143,7,Not Ranked,365429
Catch the Moon,2017,Best with 3–4 players,Recommended with 1–5 players,6.74466,1876,2684,218129
Concept,2013,Best with 6 players,Recommended with 3–12 players,6.75354,20750,1041,147151
DubbelYatzy,2013,Best with 2 players,Recommended with 1–6 players,6.19355,31,21304,146227
Foto Fish,2020,Best with 2–3 players,Recommended with 2–4 players,6.41207,87,15726,291550
Hansa Teutonica: Big Box,2020,Best with 5 players,Recommended with 3–5 players,8.37805,5887,Not Ranked,286749
Here to Slay,2020,Best with 3–4 players,Recommended with 2–5 players,6.89896,6863,1473,299252
Imagine,2015,Best with 4–6 players,Recommended with 3–8 players,6.82789,4346,1618,191894
Land vs Sea,2021,Best with 2 players,Recommended with 2–4 players,7.11099,2473,1608,336929
Marabunta,2023,Best with 2 players,Recommended with 2 players,7.52174,730,2968,403265
Anticipation,1987,Best with 4 players,Recommended with 3–4 players,5.73329,167,20065,3305
Scout,1985,,(no votes),6.4,5,Not Ranked,26681
Sirens,2024,Best with 1–2 players,Recommended with 1–2 players,7.13933,150,12059,375616
Taco Back Goat Cheese Pizza,2020,Best with 6 players,Recommended with 2–8 players,6.92519,323,6480,341876
The Lord of the Rings Adventure Book Game,2023,Best with 2 players,Recommended with 1–2 players,7.19358,783,3440,379005
Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex,2022,Best with 2 players,Recommended with 2 players,8.04603,1406,1351,284778
7 Wonders (Second Edition): Architects Guild Promo Card,2020,,(no votes),7.83176,17,Not Ranked,331815
Aqua,2024,,(no votes),6.74194,31,19190,405924
Adventure Games: The Volcanic Island,2019,Best with 2 players,Recommended with 1–4 players,5.92092,684,8861,284082
Agropolis,2021,Best with 1 players,Recommended with 1–2 players,7.31739,2455,1305,314088
Akropolis,2022,Best with 3 players,Recommended with 2–4 players,7.47838,7931,451,357563
Aquatica,2019,Best with 3 players,Recommended with 2–4 players,7.37074,6921,569,283393
Arboretum,2015,Best with 2 players,Recommended with 2–4 players,7.28089,21493,382,140934
Avant Carde,2024,Best with 3 players,Recommended with 2–4 players,6.97317,319,6062,390163
Azul: Stained Glass of Sintra,2018,Best with 3 players,Recommended with 2–4 players,7.29944,13871,459,256226
Babylonia,2005,,(no votes),4.0,3,Not Ranked,20871
Bermuda Pirates,2019,Best with 4 players,Recommended with 2–4 players,6.29885,139,13037,244909
Bezzerwizzer,2007,"Best with 4, 8 players","Recommended with 3–6, 8–10, 12 players",6.41157,3400,2892,32441
Bezzerwizzer Timeline,2021,Best with 3–4 players,Recommended with 3–5 players,6.74932,73,13727,337617
Bites,2020,Best with 3 players,Recommended with 2–5 players,7.11939,1902,1867,277927
Calico,2020,Best with 2 players,Recommended with 1–4 players,7.5159,20176,251,283155
Cascadia,2021,Best with 2–3 players,Recommended with 1–4 players,7.93275,43158,49,295947
World Wonders (fan expansion for Catan),2012,Best with 3–4 players,Recommended with 3–6 players,7.575,30,Not Ranked,134277
Catan Junior,2014,Best with 4 players,Recommended with 2–4 players,6.5311,1164,4250,184842
Ceylon,2009,,(no votes),6.25,2,Not Ranked,59969
Chronicles of Crime,2018,Best with 2 players,Recommended with 1–3 players,7.5715,23253,293,239188
Citadels,2000,Best with 5 players,Recommended with 2–7 players,7.05847,55366,535,478
Clue: Treachery at Tudor Mansion,2022,Best with 4 players,Recommended with 2–6 players,6.32936,299,9386,369483
Codenames: Duet,2017,Best with 2 players,Recommended with 2 players,7.42715,24034,257,224037
Copenhagen,2019,Best with 4 players,Recommended with 2–4 players,6.96225,4118,1361,269595
Coup,1991,Best with 2 players,Recommended with 2 players,5.15647,85,25511,1653
...I should have known that!,2011,"Best with 2, 4 players",Recommended with 2–4 players,5.0825,145,26267,137167
Dixit,2008,Best with 5–6 players,Recommended with 4–8 players,7.19459,66376,393,39856
Dragomino,2020,Best with 3–4 players,Recommended with 2–4 players,7.06275,2477,1729,300010
Dungeon Mayhem: Monster Madness,2020,Best with 4 players,Recommended with 2–6 players,7.45128,1549,1970,295577
Döttrar & Söner,2022,,(no votes),0.0,0,Not Ranked,380656
Eldritch Horror,2013,Best with 4 players,Recommended with 1–6 players,7.74822,37229,122,146021
Flamme Rouge,2016,Best with 4 players,Recommended with 2–4 players,7.48692,18502,270,199478
Flamme Rouge BMX,2023,Best with 3–4 players,Recommended with 3–4 players,6.14576,59,18259,395256
Furnace,2020,Best with 3–4 players,Recommended with 2–4 players,7.40891,11509,389,318084
Galaxy Trucker,2007,Best with 4 players,Recommended with 2–4 players,7.33888,34665,287,31481
Genotype: A Mendelian Genetics Game,2021,Best with 3–4 players,Recommended with 1–5 players,7.4607,2361,1225,252752
Grove: 9 card solitaire game,2021,Best with 1 players,Recommended with 1 players,7.60441,2226,1136,329873
Stomp the Plank,2022,Best with 4 players,Recommended with 2–4 players,6.9269,617,4343,367771
Harmonies,2024,Best with 2–3 players,Recommended with 1–4 players,8.01434,9273,142,414317
Hive Pocket,2010,Best with 2 players,Recommended with 2 players,7.69671,13552,Not Ranked,154597
Joking Hazard,2016,Best with 5 players,Recommended with 3–7 players,6.2494,6192,3113,193621
Leaf,2023,Best with 3 players,Recommended with 1–4 players,7.4444,893,2798,368676
Mini Rogue,2020,Best with 1 players,Recommended with 1–2 players,7.36939,2749,1289,311715
Red Rising,2021,Best with 3 players,Recommended with 1–4 players,6.99035,8338,988,329465
Sherlock: The Tomb of the Archaeologist,2018,"Best with 2, 4 players",Recommended with 2–4 players,6.62425,1169,3735,247436
The Guild of Merchant Explorers,2022,Best with 2 players,Recommended with 1–4 players,7.68638,5376,424,350933
Witchstone,2021,Best with 3 players,Recommended with 2–4 players,7.53555,3454,809,318560
HINT,2014,"Best with 6, 8 players",Recommended with 4–10 players,6.6507,474,6351,165628
Hissy Fit,2024,Best with 2 players,Recommended with 1–4 players,7.1875,100,10758,371333
Honey Buzz,2020,Best with 3 players,Recommended with 1–4 players,7.54284,7021,442,284742
Horizons of Spirit Island,2022,Best with 2 players,Recommended with 1–3 players,8.18102,2349,642,367498
Things They Don't Teach You in School,2010,Best with 4 players,Recommended with 4 players,4.24286,70,26793,125083
Jaws,1975,Best with 2 players,Recommended with 2–4 players,4.88636,132,26859,7563
Jekyll & Hyde vs Scotland Yard,2023,Best with 2 players,Recommended with 2 players,7.42454,560,3737,377793
Cocks Abreast Hostility: Cock Pack One – Just the Tip,2015,,(no votes),7.8125,8,Not Ranked,180694
Kluster,2018,Best with 3 players,Recommended with 2–4 players,6.6408,3180,2256,277458
Kurragömma i Safariparken,2020,,(no votes),7.5,1,Not Ranked,420073
Lofoten,2022,Best with 2 players,Recommended with 2 players,6.61605,391,6718,361905
Long Shot: The Dice Game,2022,Best with 4–5 players,Recommended with 1–8 players,7.6065,8514,321,295374
Lost Cities,1999,Best with 2 players,Recommended with 2 players,7.24594,47714,333,50
Mandala,1983,Best with 3–4 players,Recommended with 2–4 players,5.69286,42,23523,2991
Maquis,2013,Best with 1 players,Recommended with 1 players,7.45694,3967,814,148729
Mille Fiori,2021,Best with 4 players,Recommended with 3–4 players,7.42442,4367,748,346501
Mio: Brädspelet,2021,Best with 3–5 players,Recommended with 1–5 players,6.13571,28,Not Ranked,339703
Monolyth,2022,Best with 2 players,Recommended with 1–4 players,7.03703,379,5479,373759
Mosaic: A Story of Civilization,2022,Best with 4 players,Recommended with 3–5 players,7.51563,4201,719,329551
Munchkin,2001,Best with 4 players,Recommended with 3–6 players,5.87262,50609,6039,1927
Noobs in Space,2023,Best with 4 players,Recommended with 3–5 players,7.14959,609,3925,376472
Pagan: Fate of Roanoke,2022,Best with 2 players,Recommended with 2 players,8.02217,2846,623,319910
Perspectives,2013,,(no votes),5.66667,3,Not Ranked,168325
Photosynthesis,2017,Best with 3 players,Recommended with 2–4 players,6.96281,24443,714,218603
Planet,2018,Best with 4 players,Recommended with 2–4 players,6.65321,5719,1688,252929
Lätt och lagom,2004,,(no votes),4.22727,11,Not Ranked,25088
Qawale,2022,Best with 2 players,Recommended with 2 players,7.01191,777,3789,368465
Race for the Galaxy,2007,Best with 2 players,Recommended with 2–4 players,7.74335,56444,81,28143
Radlands,2021,Best with 2 players,Recommended with 2 players,7.8127,11514,191,329082
The Red Cathedral,2020,Best with 3 players,Recommended with 1–4 players,7.69221,13183,206,227224
Sea Salt & Paper,2022,Best with 2 players,Recommended with 2–4 players,7.48442,12555,332,367220
Sequence,1982,Best with 3–4 players,"Recommended with 2–4, 6 players",6.13546,10974,3355,2375
Dungeon Lords: Dungeon-Setup Tiles,2014,Best with 4 players,Recommended with 2–4 players,8.14435,62,Not Ranked,161730
Disney Robin Hood: Sheriff of Nottingham Game,2023,Best with 5 players,Recommended with 3–5 players,7.16187,112,10246,396607
Side Quest: Nemesis,2023,Best with 1–2 players,Recommended with 1–2 players,6.95207,242,7347,387538
Skyrockets: Festivals of Fire,2023,Best with 3 players,Recommended with 2–5 players,7.10827,280,6100,398684
Sleeping Queens,2005,Best with 4–5 players,Recommended with 2–5 players,6.48425,4835,2458,17053
Sobek: 2 Players,2021,Best with 2 players,Recommended with 2 players,7.16356,2505,1529,332944
Splendor Duel,2022,Best with 2 players,Recommended with 2 players,7.91781,13196,112,364073
Spots,2000,,(no votes),4.0,2,Not Ranked,16324
Takenoko,2011,Best with 3 players,Recommended with 2–4 players,7.2094,45638,401,70919
Terra Nova,2006,Best with 2 players,Recommended with 2–4 players,6.4413,1794,3457,20022
Terraforming Mars,2016,Best with 3 players,Recommended with 1–4 players,8.35334,102805,7,167791
The Fox in the Forest,2017,Best with 2 players,Recommended with 2 players,7.08443,16487,611,221965
The King Is Dead: Second Edition,2020,Best with 3 players,Recommended with 2–4 players,7.63002,7419,346,319966
The Witcher: Old World,2023,Best with 2–3 players,Recommended with 1–3 players,7.95607,6662,353,331106
Ticket to Ride: Europe,2005,Best with 4 players,Recommended with 2–5 players,7.52751,78745,169,14996
