name,state_previous,state_current,state_since,status
-Lånebiblioteket -The Taverns Of Tiefenthal,Available,Available,2024-12-21 14:48:19,No Change
-Säljs från Lånebiblioteket- HINT Junior (sv),Available,Available,2024-12-21 14:48:19,No Change
3D Labyrinth,Available,Available,2024-12-21 14:48:19,No Change
7 Wonders 2nd Edition (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
7 Wonders Architects (sv),Available,Available,2024-12-21 14:48:19,No Change
AQUA (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Adventure Games: The Volcanic Island (en),Available,Available,2024-12-21 14:48:19,No Change
Agropolis,Available,Available,2024-12-21 14:48:19,No Change
Akropolis (sv),Available,Available,2024-12-21 14:48:19,No Change
Allmoge,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Aquatica,Available,Available,2024-12-21 14:48:19,No Change
Arboretum,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Avant Carde,Available,Available,2024-12-21 14:48:19,No Change
Azul: Stained Glass of Sintra,Available,Available,2024-12-21 14:48:19,No Change
BOOoop. / Boop.,Available,Available,2024-12-21 14:48:19,No Change
Babylonia,Available,Available,2024-12-21 14:48:19,No Change
Backgammon Medium Green (1732),Available,Available,2024-12-21 14:48:19,No Change
Balloon Pop (sv),Available,Available,2024-12-21 14:48:19,No Change
Bermuda Pirates,Available,Available,2024-12-21 14:48:19,No Change
Bezzerwizzer (sv),Available,Available,2024-12-21 14:48:19,No Change
Bezzerwizzer Timeline,Available,Available,2024-12-21 14:48:19,No Change
Bites,Available,Available,2024-12-21 14:48:19,No Change
Brass Birmingham,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Bruxelles 1897,Available,Available,2024-12-21 14:48:19,No Change
Calico,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Cascadia,Available,Available,2024-12-21 14:48:19,No Change
Catan (eng),Available,Available,2024-12-21 14:48:19,No Change
Catan (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Catan Junior (sv),Available,Available,2024-12-21 14:48:19,No Change
Catch the Moon (en),Available,Available,2024-12-21 14:48:19,No Change
Century: Spice Road (sv),Available,Available,2024-12-21 14:48:19,No Change
Ceylon,Available,Available,2024-12-21 14:48:19,No Change
Chess/Schack (2706),Available,Available,2024-12-21 14:48:19,No Change
Chronicles of Crime,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Citadels (Revised),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Cluedo: Svek på Swartwiks herrgård,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Codenames Duet,Available,Available,2024-12-21 14:48:19,No Change
Coffee Rush (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Concept,Available,Available,2024-12-21 14:48:19,No Change
Copenhagen (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Coup (eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Det borde man ju veta!,Available,Available,2024-12-21 14:48:19,No Change
Dixit,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Dorfromantik: The Duel,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Dragomino,Available,Available,2024-12-21 14:48:19,No Change
DubbelYatzy,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Dungeon Mayhem: Monster Madness,Available,Available,2024-12-21 14:48:19,No Change
Döttrar & Söner,Available,Available,2024-12-21 14:48:19,No Change
Eldritch Horror,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Everdell (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Exit Kids: Gåtornas Djungel,Available,Available,2024-12-21 14:48:19,No Change
Exploding Kittens - Original Edition,Available,Available,2024-12-21 14:48:19,No Change
Famous Women Trivia Quiz,Available,Available,2024-12-21 14:48:19,No Change
Flamme Rouge,Available,Available,2024-12-21 14:48:19,No Change
Flamme Rouge BMX (sv),Available,Available,2024-12-21 14:48:19,No Change
Foto Fish,Available,Available,2024-12-21 14:48:19,No Change
Furnace,Available,Available,2024-12-21 14:48:19,No Change
Galaxy Trucker,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Gateway Island,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Genotype,Available,Available,2024-12-21 14:48:19,No Change
Grove: 9 Card Solitaire Game,Available,Available,2024-12-21 14:48:19,No Change
Gå på Plankan (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Hansa Teutonica Big Box,Available,Available,2024-12-21 14:48:19,No Change
Harmonies,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Heckmeck Deluxe,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
HerStory,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Here to Slay,Available,Available,2024-12-21 14:48:19,No Change
Hint Go (sv),Available,Available,2024-12-21 14:48:19,No Change
Hissy Fit,Available,Available,2024-12-21 14:48:19,No Change
Hive Pocket (Gen42 only Edition),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Honey Buzz,Available,Available,2024-12-21 14:48:19,No Change
Horizons of Spirit Island,Available,Available,2024-12-21 14:48:19,No Change
Horrified,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Idiotkunskap,Available,Available,2024-12-21 14:48:19,No Change
Imagine,Available,Available,2024-12-21 14:48:19,No Change
Jaws,Available,Available,2024-12-21 14:48:19,No Change
Jekyll & Hyde vs Scotland Yard,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Joking Hazard,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Just one (eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Karak,Available,Available,2024-12-21 14:48:19,No Change
Kluster,Available,Available,2024-12-21 14:48:19,No Change
Kurragömma i Safariparken,Available,Available,2024-12-21 14:48:19,No Change
Kurragömma på Bondgården,Available,Available,2024-12-21 14:48:19,No Change
Land Vs Sea,Available,Available,2024-12-21 14:48:19,No Change
Leaf,Available,Available,2024-12-21 14:48:19,No Change
Lofoten,Available,Available,2024-12-21 14:48:19,No Change
London 2nd Edition,Available,Available,2024-12-21 14:48:19,No Change
Long Shot The Dice Game,Available,Available,2024-12-21 14:48:19,No Change
Lost Cities,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Mandala,Available,Available,2024-12-21 14:48:19,No Change
Maquis,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Marabunta,Available,Available,2024-12-21 14:48:19,No Change
Mille Fiori,Available,Available,2024-12-21 14:48:19,No Change
Mini Rogue,Available,Available,2024-12-21 14:48:19,No Change
Mio: Brädspelet,Available,Available,2024-12-21 14:48:19,No Change
Monikers Classic (eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Monolyth,Available,Available,2024-12-21 14:48:19,No Change
Mosaic A Story of Civilization,Available,Available,2024-12-21 14:48:19,No Change
Munchkin Deluxe,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Myretuen (Myrstacken),Available,Available,2024-12-21 14:48:19,No Change
Noobs in Space,Available,Available,2024-12-21 14:48:19,No Change
Nåt Ska Bort,Available,Available,2024-12-21 14:48:19,No Change
Oh S#!? (Oh Shit/ No Thanks!),Available,Available,2024-12-21 14:48:19,No Change
Pagan: Fate of Roanoke,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Pandemic Hot Zone - Europe (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Perspectives,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Photosynthesis,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Planet,Available,Available,2024-12-21 14:48:19,No Change
Point City,Available,Available,2024-12-21 14:48:19,No Change
Port Royal: The Dice Game,Available,Available,2024-12-21 14:48:19,No Change
Power Grid Recharged (2nd Edition),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
På 5 sekunder,Available,Available,2024-12-21 14:48:19,No Change
Qawale,Available,Available,2024-12-21 14:48:19,No Change
Quiznödig - Hemma,Available,Available,2024-12-21 14:48:19,No Change
Quiznödig - På Festen,Available,Available,2024-12-21 14:48:19,No Change
Race for the Galaxy,Available,Available,2024-12-21 14:48:19,No Change
Radlands,Available,Available,2024-12-21 14:48:19,No Change
Red Cathedral,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Red Rising,Available,Available,2024-12-21 14:48:19,No Change
Rhino Hero,Available,Available,2024-12-21 14:48:19,No Change
Scout,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Sea Salt & Paper,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Sequence,Available,Available,2024-12-21 14:48:19,No Change
Set: The Family Game of Visual Perception,Available,Available,2024-12-21 14:48:19,No Change
Setup (sv),Available,Available,2024-12-21 14:48:19,No Change
Sheriff Of Nottingham (sv),Available,Available,2024-12-21 14:48:19,No Change
Sherlock: Death on The 4th of July,Available,Available,2024-12-21 14:48:19,No Change
Sherlock: The Tomb of The Archaeologist,Available,Available,2024-12-21 14:48:19,No Change
Side Quest: Nemesis,Available,Available,2024-12-21 14:48:19,No Change
Sirens,Available,Available,2024-12-21 14:48:19,No Change
Skyrockets Festivals of Fire,Available,Available,2024-12-21 14:48:19,No Change
Sleeping Queens,Available,Available,2024-12-21 14:48:19,No Change
Sobek: 2 Players,Available,Available,2024-12-21 14:48:19,No Change
Splendor Duel (sv),Available,Available,2024-12-21 14:48:19,No Change
Spots,Available,Available,2024-12-21 14:48:19,No Change
Star Realms Deckbuilding Game,Available,Available,2024-12-21 14:48:19,No Change
TEAM3 - Pink,Available,Available,2024-12-21 14:48:19,No Change
Taco Back Goat Cheese Pizza (sv + en),Available,Available,2024-12-21 14:48:19,No Change
Takenoko,Available,Available,2024-12-21 14:48:19,No Change
Terra Nova,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Terraforming Mars,Available,Available,2024-12-21 14:48:19,No Change
The Adventures of Robin Hood (en),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
The Fox in the Forest,Available,Available,2024-12-21 14:48:19,No Change
The Guild of Merchant Explorers,Available,Available,2024-12-21 14:48:19,No Change
The King Is Dead: Second Edition,Available,Available,2024-12-21 14:48:19,No Change
The Lord of the Rings Adventure Book Game,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
The Witcher: Old World (SV),Available,Available,2024-12-21 14:48:19,No Change
Ticket to Ride: Europe,Available,Available,2024-12-21 14:48:19,No Change
Tiletum,Available,Available,2024-12-21 14:48:19,No Change
Unlock! Escape Adventures (eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Unlock! Escape Adventures (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Unlock! Kids: Detective Stories (sv),Available,Available,2024-12-21 14:48:19,No Change
Unmatched Battle Of Legends Volume One,Available,Available,2024-12-21 14:48:19,No Change
Unmatched Jurassic Park; Dr. Sattler vs. T. Rex,Available,Available,2024-12-21 14:48:19,No Change
Unmatched: Brains and Brawn,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Votes For Women,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
War Chest,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Wavelength (sv + eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change
What Do You Meme? Recently Refreshed,Unavailable,Unavailable,2024-12-21 14:48:19,No Change
Witchstone,Available,Available,2024-12-21 14:48:19,No Change
World Wonders,Available,Available,2024-12-21 14:48:19,No Change
Årtalsmästarna,Available,Available,2024-12-21 14:48:19,No Change
