name,state_previous,state_current,state_since,status
-Säljs från Lånebiblioteket- 3D Labyrinth,,,2025-01-20 09:57:43,New Game
-Säljs från Lånebiblioteket- HINT Junior (sv),,,2025-01-07 15:48:29,New Game
-Säljs från Lånebiblioteket- Idiotkunskap,,,2025-01-20 09:57:43,New Game
3D Labyrinth,,,2025-01-16 17:02:50,New Game
Azul Mini,,,2025-01-20 09:57:43,New Game
Idiotkunskap,,,2025-01-16 17:02:50,New Game
Kurragömma på Bondgården,,,2025-01-16 17:02:50,New Game
Myretuen (Myrstacken),,,2025-01-16 17:02:50,New Game
Nåt Ska Bort,,,2025-01-16 17:02:50,New Game
På 5 sekunder,,,2025-01-16 17:02:50,New Game
Unmatched: Brains and Brawn,,,2025-01-24 11:43:30,New Game
