name,state_previous,state_current,state_since,status,id,title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank
-Lånebiblioteket -The Taverns Of Tiefenthal,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
-Säljs från Lånebiblioteket- HINT Junior (sv),Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
3D Labyrinth,Available,Available,2024-12-21 14:48:19,No Change,8308,3D Labyrinth,2002,Best with 4 players,Recommended with 4 players,5.17774,164,26281
7 Wonders 2nd Edition (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
7 Wonders Architects (sv),Available,Available,2024-12-21 14:48:19,No Change,331815,7 Wonders (Second Edition): Architects Guild Promo Card,2020,,(no votes),7.83176,17,Not Ranked
AQUA (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,405924,Aqua,2024,,(no votes),6.74194,31,19190
Adventure Games: The Volcanic Island (en),Available,Available,2024-12-21 14:48:19,No Change,284082,Adventure Games: The Volcanic Island,2019,Best with 2 players,Recommended with 1–4 players,5.92092,684,8861
Agropolis,Available,Available,2024-12-21 14:48:19,No Change,314088,Agropolis,2021,Best with 1 players,Recommended with 1–2 players,7.31739,2455,1305
Akropolis (sv),Available,Available,2024-12-21 14:48:19,No Change,357563,Akropolis,2022,Best with 3 players,Recommended with 2–4 players,7.47838,7931,451
Allmoge,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,430461,Allmoge,2024,,(no votes),8.5,3,Not Ranked
Aquatica,Available,Available,2024-12-21 14:48:19,No Change,283393,Aquatica,2019,Best with 3 players,Recommended with 2–4 players,7.37074,6921,569
Arboretum,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,140934,Arboretum,2015,Best with 2 players,Recommended with 2–4 players,7.28089,21493,382
Avant Carde,Available,Available,2024-12-21 14:48:19,No Change,390163,Avant Carde,2024,Best with 3 players,Recommended with 2–4 players,6.97317,319,6062
Azul: Stained Glass of Sintra,Available,Available,2024-12-21 14:48:19,No Change,256226,Azul: Stained Glass of Sintra,2018,Best with 3 players,Recommended with 2–4 players,7.29944,13871,459
BOOoop. / Boop.,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Babylonia,Available,Available,2024-12-21 14:48:19,No Change,20871,Babylonia,2005,,(no votes),4.0,3,Not Ranked
Backgammon Medium Green (1732),Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Balloon Pop (sv),Available,Available,2024-12-21 14:48:19,No Change,386761,Balloon Pop,2023,Best with 3 players,Recommended with 2–4 players,6.12028,180,12978
